竹北_vd_speed,竹北_live_traffic_speed,三重_vd_speed,三重_live_traffic_speed,寶山_vd_speed,寶山_live_traffic_speed
87.0,85,90.5,45,96.66666666666667,61
79.0,85,92.5,45,94.0,59
93.25,85,90.0,46,40.666666666666664,56
81.25,86,89.0,48,43.666666666666664,54
89.5,85,84.5,49,39.0,51
82.25,86,89.25,50,46.0,49
79.75,87,87.0,51,97.0,51
83.0,86,88.5,50,97.0,55
87.25,85,85.0,51,97.33333333333333,56
86.25,85,83.25,50,104.0,54
86.75,84,92.0,49,101.0,52
90.25,83,86.25,49,97.33333333333333,50
87.75,84,81.5,50,101.0,52
85.5,84,82.5,50,102.33333333333333,51
84.25,84,77.0,50,98.0,50
88.0,85,79.5,49,101.66666666666667,49
90.75,85,82.25,47,97.66666666666667,49
81.5,85,84.75,46,104.66666666666667,47
82.25,85,82.75,43,100.0,45
83.25,85,84.75,43,97.0,45
80.25,83,85.0,43,96.33333333333333,47
82.66666666666667,83,89.75,42,105.33333333333333,49
78.25,82,85.0,42,88.66666666666667,48
86.75,82,89.75,42,103.33333333333333,48
84.0,82,84.75,43,101.0,48
76.75,81,80.0,44,99.0,47
78.75,80,84.5,45,100.33333333333333,47
87.0,81,81.0,45,94.66666666666667,45
86.0,81,78.25,45,92.0,44
84.25,82,75.5,43,94.0,44
85.33333333333333,83,72.75,41,90.66666666666667,44
78.25,83,74.25,41,92.66666666666667,44
74.33333333333333,83,67.25,37,96.33333333333333,43
85.75,83,72.5,36,99.33333333333333,41
77.5,82,80.25,36,100.33333333333333,40
92.5,82,76.75,37,99.33333333333333,38
81.75,81,88.25,39,96.0,38
80.5,81,87.0,39,96.66666666666667,36
82.75,82,81.0,41,95.33333333333333,34
90.5,82,87.0,42,97.33333333333333,35
81.5,82,83.75,43,91.33333333333333,34
88.75,84,90.25,43,97.0,34
89.66666666666667,85,82.0,45,94.33333333333333,35
86.5,84,82.25,45,83.33333333333333,35
91.5,85,83.0,45,95.66666666666667,36
84.5,85,82.25,44,90.33333333333333,36
78.5,83,86.75,45,84.66666666666667,35
76.75,80,80.5,45,89.66666666666667,35
81.0,78,86.75,46,86.66666666666667,35
84.75,77,83.25,45,92.0,34
80.75,77,83.75,48,96.33333333333333,34
91.0,78,82.25,50,93.0,34
87.75,81,90.0,54,91.0,34
83.5,81,90.5,58,91.33333333333333,34
95.0,82,88.75,62,90.33333333333333,34
83.25,84,88.5,65,91.66666666666667,34
83.0,84,87.0,67,87.0,34
88.33333333333333,84,88.5,69,79.0,34
87.5,85,84.25,70,90.66666666666667,34
81.25,83,86.5,73,89.33333333333333,33
91.5,83,86.0,73,91.33333333333333,32
87.66666666666667,83,81.0,73,86.66666666666667,31
80.0,83,84.25,75,79.0,33
